epoch train test
0.000 33.418 37.000
1.000 44.594 52.820
2.000 49.188 59.250
3.000 51.580 61.690
4.000 56.966 69.690
5.000 55.658 66.790
6.000 60.852 72.690
7.000 61.254 73.010
8.000 60.466 72.360
9.000 63.422 76.590
10.000 65.378 79.050
11.000 64.580 75.640
12.000 64.390 76.900
13.000 65.302 77.220
14.000 64.662 74.850
15.000 62.660 73.340
16.000 66.508 78.150
17.000 66.030 77.870
18.000 66.178 77.230
19.000 67.882 79.800
20.000 67.518 78.170
21.000 67.000 77.720
22.000 68.272 79.170
23.000 68.356 79.000
24.000 68.584 79.150
25.000 68.908 79.340
26.000 70.658 81.230
27.000 70.728 81.900
28.000 69.330 78.660
29.000 69.954 79.630
30.000 70.480 79.770
31.000 71.204 80.820
32.000 70.194 79.450
33.000 71.494 79.730
34.000 71.086 79.250
35.000 67.630 74.820
36.000 71.494 79.690
37.000 71.196 78.990
38.000 71.558 79.600
39.000 71.268 76.910
40.000 71.900 78.850
41.000 72.826 79.620
42.000 72.992 79.300
43.000 73.088 79.770
44.000 71.564 76.850
45.000 72.724 79.450
46.000 72.686 78.390
47.000 73.372 78.830
48.000 72.622 77.600
49.000 74.956 80.640
50.000 71.324 75.840
51.000 73.558 78.150
52.000 72.056 75.350
53.000 74.782 78.380
54.000 72.276 74.250
55.000 74.160 77.810
56.000 75.376 79.250
57.000 74.790 78.580
58.000 75.858 78.630
59.000 74.494 76.540
60.000 76.310 78.030
61.000 75.264 77.180
62.000 76.728 78.000
63.000 75.956 77.180
64.000 74.172 74.120
65.000 73.998 72.920
66.000 75.430 73.970
67.000 76.204 75.750
68.000 76.242 75.470
69.000 76.934 76.580
70.000 76.808 75.500
71.000 74.316 71.290
72.000 78.376 77.410
73.000 77.570 75.220
74.000 77.002 75.670
75.000 79.440 76.830
76.000 76.356 72.990
77.000 78.920 75.750
78.000 78.792 75.200
79.000 79.408 74.790
80.000 77.740 73.320
81.000 79.702 74.550
82.000 80.654 76.350
83.000 77.852 72.310
84.000 75.166 68.520
85.000 79.818 74.230
86.000 79.128 72.240
87.000 79.164 71.920
88.000 81.336 73.800
89.000 81.142 74.310
90.000 81.298 73.900
91.000 80.062 72.290
92.000 80.800 72.510
93.000 80.556 72.690
94.000 82.448 74.370
95.000 78.996 70.160
96.000 79.776 70.700
97.000 81.028 71.480
98.000 82.164 71.800
99.000 82.382 71.900
100.000 79.390 68.870
101.000 83.132 71.540
102.000 81.148 69.700
103.000 83.874 72.630
104.000 83.758 72.550
105.000 84.126 73.050
106.000 85.236 73.580
107.000 85.632 73.920
108.000 84.876 73.210
109.000 84.100 70.620
110.000 85.112 72.690
111.000 84.660 71.420
112.000 85.042 71.890
113.000 86.248 71.510
114.000 85.410 72.600
115.000 84.604 71.420
116.000 84.080 69.680
117.000 85.066 71.080
118.000 85.140 70.130
119.000 88.294 72.510
120.000 87.262 72.180
121.000 86.436 71.700
122.000 87.422 72.150
123.000 85.828 70.670
124.000 88.670 72.660
125.000 88.680 71.370
126.000 86.684 70.430
127.000 86.708 69.720
128.000 88.464 72.780
129.000 88.252 69.520
130.000 89.972 72.040
131.000 89.574 72.540
132.000 85.672 68.240
133.000 90.056 72.150
134.000 90.034 72.340
135.000 89.496 72.380
136.000 89.678 71.390
137.000 89.774 73.390
138.000 89.864 71.590
139.000 87.962 69.850
140.000 90.572 71.320
141.000 90.344 70.560
142.000 90.946 72.260
143.000 90.840 72.660
144.000 90.600 71.720
145.000 91.774 72.380
146.000 89.906 70.160
147.000 92.176 72.480
148.000 91.064 72.310
149.000 88.896 68.970
150.000 90.864 70.030
151.000 92.346 71.630
152.000 92.466 71.730
153.000 90.866 70.390
154.000 90.894 69.850
155.000 92.366 71.250
156.000 91.948 70.280
157.000 92.250 70.980
158.000 91.968 71.370
159.000 92.514 71.690
160.000 93.208 71.940
161.000 91.844 70.510
162.000 92.126 70.940
163.000 92.794 71.320
164.000 93.544 72.020
165.000 93.096 70.840
166.000 93.092 71.330
167.000 92.078 70.710
168.000 91.860 69.540
169.000 92.384 69.460
170.000 92.762 70.320
171.000 92.404 69.850
172.000 93.672 71.540
173.000 93.398 71.140
174.000 93.866 72.000
175.000 93.936 71.410
176.000 93.922 70.470
177.000 93.570 71.450
178.000 94.366 71.990
179.000 94.688 71.320
180.000 94.890 72.010
181.000 94.436 70.790
182.000 93.044 69.480
183.000 95.116 70.920
184.000 95.304 71.120
185.000 94.274 71.390
186.000 95.332 71.260
187.000 95.216 71.080
188.000 95.144 71.280
189.000 94.922 71.340
190.000 94.726 70.730
191.000 94.570 70.880
192.000 95.654 71.940
193.000 94.746 72.020
194.000 95.158 72.130
195.000 95.298 71.300
196.000 95.546 72.100
197.000 95.872 72.490
198.000 94.964 70.890
199.000 96.022 72.130
200.000 94.688 70.050
201.000 96.028 71.320
202.000 95.228 70.790
203.000 95.284 71.160
204.000 96.388 71.230
205.000 96.414 72.730
206.000 95.182 70.410
207.000 96.164 71.620
208.000 95.866 71.350
209.000 95.556 70.600
210.000 96.144 71.100
211.000 95.682 70.740
212.000 94.762 69.320
213.000 96.464 71.280
214.000 96.892 71.580
215.000 96.524 71.380
216.000 96.898 72.560
217.000 96.340 70.900
218.000 96.586 71.310
219.000 96.532 70.860
220.000 96.338 71.700
221.000 96.618 71.200
222.000 97.138 72.420
223.000 96.892 71.450
224.000 97.056 72.380
225.000 96.956 71.350
226.000 97.230 72.230
227.000 96.482 71.050
228.000 96.522 71.160
229.000 97.414 72.510
230.000 96.776 71.300
231.000 97.276 72.030
232.000 96.902 71.560
233.000 97.452 72.170
234.000 96.670 70.990
235.000 97.348 71.710
236.000 97.270 71.650
237.000 97.472 71.230
238.000 97.738 72.680
239.000 97.064 71.530
240.000 97.542 72.600
241.000 97.366 71.150
242.000 97.240 71.550
243.000 97.598 71.600
244.000 97.878 72.640
245.000 97.954 71.830
246.000 97.876 72.150
247.000 97.922 71.830
248.000 97.784 71.580
249.000 97.842 72.130
250.000 96.948 71.660
251.000 97.672 71.940
252.000 97.502 72.350
253.000 97.762 71.050
254.000 97.510 71.540
255.000 97.202 71.670
256.000 98.068 72.600
257.000 98.010 71.340
258.000 97.702 70.890
259.000 97.584 71.270
260.000 98.118 72.120
261.000 98.078 72.320
262.000 97.794 72.640
263.000 97.944 71.500
264.000 98.088 72.180
265.000 97.772 72.180
266.000 98.262 72.180
267.000 97.730 71.730
268.000 97.820 72.860
269.000 98.086 72.090
270.000 97.944 72.240
271.000 98.344 72.150
272.000 98.338 71.990
273.000 98.352 72.230
274.000 98.438 72.520
275.000 98.356 71.780
276.000 98.586 72.280
277.000 98.586 72.540
278.000 98.472 72.360
279.000 98.186 72.350
280.000 98.598 72.900
281.000 98.462 72.550
282.000 98.512 72.460
283.000 98.140 72.110
284.000 98.318 71.920
285.000 98.462 72.260
286.000 98.512 72.520
287.000 98.298 71.610
288.000 98.696 71.810
289.000 98.580 72.740
290.000 98.622 71.900
291.000 98.624 71.880
292.000 98.640 72.920
293.000 98.614 72.350
294.000 98.494 71.830
295.000 98.540 72.220
296.000 98.528 72.360
297.000 98.772 72.260
298.000 98.648 72.410
299.000 98.726 72.230
300.000 98.820 72.270
301.000 98.598 71.920
302.000 98.740 72.310
303.000 98.548 71.920
304.000 98.688 72.270
305.000 98.810 72.630
306.000 98.886 72.390
307.000 98.722 72.400
308.000 98.734 72.180
309.000 98.920 71.970
310.000 98.778 73.290
311.000 98.928 72.100
312.000 98.882 71.860
313.000 98.676 72.360
314.000 98.918 72.170
315.000 98.788 71.850
316.000 98.918 72.490
317.000 98.900 72.370
318.000 98.824 71.920
319.000 98.960 72.610
320.000 99.004 71.900
321.000 99.026 72.830
322.000 98.948 71.990
323.000 99.056 72.310
324.000 98.968 71.990
325.000 99.018 72.560
326.000 98.742 71.700
327.000 98.858 72.530
328.000 99.160 72.480
329.000 99.118 72.280
330.000 99.144 72.640
331.000 99.086 72.310
332.000 99.006 71.890
333.000 99.096 71.970
334.000 98.998 72.970
335.000 99.156 71.810
336.000 99.174 72.330
337.000 98.838 72.240
338.000 99.020 72.030
339.000 99.224 72.230
340.000 99.072 72.270
341.000 98.996 72.200
342.000 99.152 72.040
343.000 99.214 72.350
344.000 98.794 72.120
345.000 99.224 72.770
346.000 99.278 71.970
347.000 98.774 71.640
348.000 99.254 72.540
349.000 99.164 72.160
350.000 99.278 72.350
351.000 99.330 72.340
352.000 99.388 72.510
353.000 98.964 71.790
354.000 99.180 72.300
355.000 99.170 72.320
356.000 99.274 72.590
357.000 99.206 72.350
358.000 99.254 72.280
359.000 99.348 72.510
360.000 99.228 71.790
361.000 99.278 72.740
362.000 99.222 72.340
363.000 99.258 72.030
364.000 99.146 72.170
365.000 99.440 73.250
366.000 99.364 73.330
367.000 99.344 72.950
368.000 99.320 72.370
369.000 99.228 72.360
370.000 99.272 72.410
371.000 99.436 72.730
372.000 99.466 72.450
373.000 99.366 72.620
374.000 99.366 72.930
375.000 99.434 73.050
376.000 99.224 72.450
377.000 99.314 72.700
378.000 99.344 73.040
379.000 99.408 72.000
380.000 99.456 72.880
381.000 99.442 72.520
382.000 99.518 72.390
383.000 99.486 72.450
384.000 99.416 72.610
385.000 99.456 72.730
386.000 99.498 72.910
387.000 99.380 72.210
388.000 99.524 72.460
389.000 99.484 72.640
390.000 99.410 72.810
391.000 99.524 72.540
392.000 99.372 72.390
393.000 99.404 72.500
394.000 99.522 72.370
395.000 99.504 72.600
396.000 99.516 73.020
397.000 99.368 72.620
398.000 99.546 72.850
399.000 99.434 72.740
400.000 99.464 73.000
401.000 99.474 72.520
402.000 99.570 72.770
403.000 99.494 72.690
404.000 99.614 73.200
405.000 99.534 73.190
406.000 99.534 72.870
407.000 99.544 73.080
408.000 99.538 72.440
409.000 99.534 72.590
410.000 99.580 73.100
411.000 99.508 72.390
412.000 99.434 72.750
413.000 99.396 72.330
414.000 99.606 72.730
415.000 99.518 72.780
416.000 99.638 72.640
417.000 99.484 72.420
418.000 99.652 72.360
419.000 99.500 72.320
420.000 99.538 72.440
421.000 99.546 72.670
422.000 99.572 72.350
423.000 99.618 73.100
424.000 99.656 72.860
425.000 99.662 72.410
426.000 99.028 71.120
427.000 99.614 72.990
428.000 99.538 72.730
429.000 99.622 72.820
430.000 99.532 72.160
431.000 99.650 72.200
432.000 99.642 72.710
433.000 99.512 72.260
434.000 99.676 72.940
435.000 99.682 72.620
436.000 99.660 72.650
437.000 99.550 72.700
438.000 99.610 72.370
439.000 99.620 72.480
440.000 99.686 72.510
441.000 99.626 72.980
442.000 99.642 72.700
443.000 99.668 72.270
444.000 99.724 72.490
445.000 99.698 72.470
446.000 99.602 72.660
447.000 99.634 72.890
448.000 99.690 72.620
449.000 99.664 72.650
450.000 99.702 72.290
451.000 99.722 72.970
452.000 99.702 72.580
453.000 99.718 72.880
454.000 99.676 72.990
455.000 99.592 72.460
456.000 99.670 72.450
457.000 99.732 73.210
458.000 99.622 72.320
459.000 99.688 73.070
460.000 99.710 72.490
461.000 99.696 73.310
462.000 99.734 73.170
463.000 99.748 73.110
464.000 99.712 72.470
465.000 99.702 72.700
466.000 99.780 72.950
467.000 99.732 72.520
468.000 99.670 73.010
469.000 99.636 72.730
470.000 99.730 73.000
471.000 99.770 72.790
472.000 99.762 73.130
