epoch bias variance
0.000000000000000000e+00 2.261890247464179993e+00 7.721367822587499319e-02
1.000000000000000000e+00 1.990221321582794189e+00 1.031151150465010602e-01
2.000000000000000000e+00 1.684302881360054016e+00 1.041814132183790376e-01
3.000000000000000000e+00 1.627294376492500305e+00 1.199345747388900207e-01
4.000000000000000000e+00 1.557573452591896057e+00 1.354816661145539225e-01
5.000000000000000000e+00 1.473282232880592346e+00 1.598274644702675218e-01
6.000000000000000000e+00 1.373223870992660522e+00 1.586407724067568914e-01
7.000000000000000000e+00 1.371495172381401062e+00 1.583082475878299089e-01
8.000000000000000000e+00 1.200956925749778748e+00 1.647434148833157863e-01
9.000000000000000000e+00 1.171692207455635071e+00 1.898799536824226364e-01
1.000000000000000000e+01 1.231574997305870056e+00 1.831282487384975344e-01
1.100000000000000000e+01 1.246471650898456573e+00 1.871734960541129311e-01
1.200000000000000000e+01 1.055367410182952881e+00 2.014045010954141901e-01
1.300000000000000000e+01 1.025192916393280029e+00 1.974408593550327495e-01
1.400000000000000000e+01 1.008928827941417694e+00 2.118857792079449354e-01
1.500000000000000000e+01 1.014479525387287140e+00 2.044370458841324734e-01
1.600000000000000000e+01 8.983108028769493103e-01 2.139493470028044353e-01
1.700000000000000000e+01 9.934334903955459595e-01 2.137871535129844958e-01
1.800000000000000000e+01 8.615065515041351318e-01 2.230856554791333934e-01
1.900000000000000000e+01 1.032972157001495361e+00 2.235970207288864309e-01
2.000000000000000000e+01 8.961241841316223145e-01 2.248442600399256364e-01
2.100000000000000000e+01 1.006199032068252563e+00 2.259697865486147705e-01
2.200000000000000000e+01 8.389246687293052673e-01 2.338938416667284415e-01
2.300000000000000000e+01 9.288412556052207947e-01 2.297736833274366397e-01
2.400000000000000000e+01 8.228918537497520447e-01 2.404200448989870509e-01
2.500000000000000000e+01 9.013353213667869568e-01 2.403812267355620591e-01
2.600000000000000000e+01 8.715020716190338135e-01 2.505739897504448699e-01
2.700000000000000000e+01 7.900522053241729736e-01 2.508925604566931700e-01
2.800000000000000000e+01 8.580975085496902466e-01 2.535224197022616366e-01
2.900000000000000000e+01 7.640758901834487915e-01 2.637727023765443768e-01
3.000000000000000000e+01 8.086181953549385071e-01 2.635606690928340434e-01
3.100000000000000000e+01 7.939295619726181030e-01 2.631576693430544012e-01
3.200000000000000000e+01 8.195008635520935059e-01 2.725681754678488389e-01
3.300000000000000000e+01 8.169280961155891418e-01 2.640933885231615541e-01
3.400000000000000000e+01 7.679677680134773254e-01 2.754527205914258925e-01
3.500000000000000000e+01 7.770489528775215149e-01 2.717632004633547815e-01
3.600000000000000000e+01 8.776464909315109253e-01 2.673882596284151703e-01
3.700000000000000000e+01 7.938591539859771729e-01 2.816900341495871540e-01
3.800000000000000000e+01 8.094961047172546387e-01 2.791515564471485078e-01
3.900000000000000000e+01 9.496128782629966736e-01 2.685118785262110563e-01
4.000000000000000000e+01 8.994293436408042908e-01 2.752820552900434592e-01
4.100000000000000000e+01 8.129225969314575195e-01 2.856344020918012427e-01
4.200000000000000000e+01 7.903895676136016846e-01 2.894710637003186093e-01
4.300000000000000000e+01 9.115312099456787109e-01 2.877585360810162030e-01
4.400000000000000000e+01 8.470882400870323181e-01 2.911162981152535245e-01
4.500000000000000000e+01 8.252891302108764648e-01 2.911777093991638754e-01
4.600000000000000000e+01 8.158132135868072510e-01 2.905276562646030847e-01
4.700000000000000000e+01 7.670507170259952545e-01 3.285617438733581253e-01
4.800000000000000000e+01 7.543196156620979309e-01 3.043065018385648912e-01
4.900000000000000000e+01 7.413153126835823059e-01 3.109665771737697426e-01
5.000000000000000000e+01 8.532525673508644104e-01 3.036482299089433567e-01
5.100000000000000000e+01 8.329574018716812134e-01 3.134508735746144303e-01
5.200000000000000000e+01 8.367921486496925354e-01 3.097635351479053334e-01
5.300000000000000000e+01 7.820363491773605347e-01 3.172502817958595678e-01
5.400000000000000000e+01 9.298190325498580933e-01 3.200727143466473024e-01
5.500000000000000000e+01 8.418225683271884918e-01 3.181854939997197373e-01
5.600000000000000000e+01 7.211830466985702515e-01 3.282739995986222459e-01
5.700000000000000000e+01 8.577018305659294128e-01 3.204446420222522018e-01
5.800000000000000000e+01 8.424577638506889343e-01 3.302068780824543026e-01
5.900000000000000000e+01 9.248511567711830139e-01 3.213961285188795536e-01
6.000000000000000000e+01 7.512513548135757446e-01 3.418766033381226421e-01
6.100000000000000000e+01 7.974710315465927124e-01 3.396142181798817994e-01
6.200000000000000000e+01 7.829589396715164185e-01 3.441443721100689856e-01
6.300000000000000000e+01 8.474348559975624084e-01 3.372254813209176749e-01
6.400000000000000000e+01 9.875883236527442932e-01 3.402648017525673474e-01
6.500000000000000000e+01 8.572045788168907166e-01 3.442334328860046089e-01
6.600000000000000000e+01 8.550719618797302246e-01 3.549243548005819315e-01
6.700000000000000000e+01 7.747770398855209351e-01 3.547081050425768822e-01
6.800000000000000000e+01 8.925028964877128601e-01 3.506522880077365123e-01
6.900000000000000000e+01 8.273093625903129578e-01 3.555679311543704646e-01
7.000000000000000000e+01 9.225096404552459717e-01 3.432958422690630673e-01
7.100000000000000000e+01 8.564623147249221802e-01 3.668788193464280756e-01
7.200000000000000000e+01 8.882607892155647278e-01 3.521246620267630689e-01
7.300000000000000000e+01 8.005337566137313843e-01 3.725915550082925520e-01
7.400000000000000000e+01 8.144361600279808044e-01 3.635843931198121659e-01
7.500000000000000000e+01 8.802762553095817566e-01 3.544652497678995040e-01
7.600000000000000000e+01 8.902777433395385742e-01 3.822243257641793068e-01
7.700000000000000000e+01 9.206465482711791992e-01 3.659205333381891911e-01
7.800000000000000000e+01 8.714400753378868103e-01 3.679001565158368514e-01
7.900000000000000000e+01 9.860860705375671387e-01 3.703479490131140750e-01
8.000000000000000000e+01 7.659549340605735779e-01 3.884196675956249623e-01
8.100000000000000000e+01 7.831288203597068787e-01 3.836194201171401197e-01
8.200000000000000000e+01 1.008020579814910889e+00 3.774532017439606868e-01
8.300000000000000000e+01 8.537300899624824524e-01 3.912198724895716850e-01
8.400000000000000000e+01 9.721448719501495361e-01 3.756528682142499243e-01
8.500000000000000000e+01 9.272775799036026001e-01 3.876679437011480989e-01
8.600000000000000000e+01 9.030772373080253601e-01 4.004129233539104327e-01
8.700000000000000000e+01 8.513931855559349060e-01 4.025239370167256192e-01
8.800000000000000000e+01 8.859483674168586731e-01 4.009245056986809885e-01
8.900000000000000000e+01 7.986963614821434021e-01 4.031672907561063557e-01
9.000000000000000000e+01 8.660778328776359558e-01 4.040695330977439603e-01
9.100000000000000000e+01 8.107333481311798096e-01 4.078594285070895609e-01
9.200000000000000000e+01 9.325363263487815857e-01 4.036795408636333349e-01
9.300000000000000000e+01 7.630782797932624817e-01 4.147503066778183145e-01
9.400000000000000000e+01 7.044075205922126770e-01 4.103477000504731631e-01
9.500000000000000000e+01 9.639106169342994690e-01 4.106087791681289900e-01
9.600000000000000000e+01 8.718496710062026978e-01 4.153471645742656815e-01
9.700000000000000000e+01 8.187518417835235596e-01 4.192210450649260789e-01
9.800000000000000000e+01 8.025825619697570801e-01 4.176890298813580316e-01
9.900000000000000000e+01 9.467440992593765259e-01 4.089382284909486298e-01
1.000000000000000000e+02 9.371395185589790344e-01 4.177238308668138611e-01
1.010000000000000000e+02 8.108771666884422302e-01 4.231009822756055527e-01
1.020000000000000000e+02 7.876741290092468262e-01 4.224226219296456364e-01
1.030000000000000000e+02 8.312162309885025024e-01 4.288400324076415693e-01
1.040000000000000000e+02 8.429649621248245239e-01 4.207909135937693001e-01
1.050000000000000000e+02 9.980664700269699097e-01 4.349136694312096818e-01
1.060000000000000000e+02 8.009951561689376831e-01 4.356277438133955293e-01
1.070000000000000000e+02 7.984443008899688721e-01 4.343987464338541216e-01
1.080000000000000000e+02 8.198155611753463745e-01 4.423527718603612602e-01
1.090000000000000000e+02 7.618151754140853882e-01 4.416511179208755244e-01
1.100000000000000000e+02 8.526485264301300049e-01 4.370747994273901371e-01
1.110000000000000000e+02 8.173637390136718750e-01 4.493586812973022759e-01
1.120000000000000000e+02 7.321528196334838867e-01 4.454748484671116060e-01
1.130000000000000000e+02 7.577135637402534485e-01 4.402558649271726132e-01
1.140000000000000000e+02 7.740554213523864746e-01 4.522573310166597693e-01
1.150000000000000000e+02 8.237989470362663269e-01 4.462431241601707566e-01
1.160000000000000000e+02 8.333367183804512024e-01 4.512937400966885448e-01
1.170000000000000000e+02 7.657497301697731018e-01 4.559314408153296583e-01
1.180000000000000000e+02 7.272417768836021423e-01 4.546349709391593885e-01
1.190000000000000000e+02 8.083143383264541626e-01 4.600726773798466951e-01
1.200000000000000000e+02 7.449381127953529358e-01 4.579428611874583055e-01
1.210000000000000000e+02 7.139159515500068665e-01 4.582796289116144450e-01
1.220000000000000000e+02 7.212621346116065979e-01 4.622138909727335765e-01
1.230000000000000000e+02 7.534494400024414062e-01 4.558768714755774276e-01
1.240000000000000000e+02 7.014347910881042480e-01 4.660442705571652411e-01
1.250000000000000000e+02 7.275810837745666504e-01 4.647912087529899594e-01
1.260000000000000000e+02 8.132832720875740051e-01 4.657506217539311155e-01
1.270000000000000000e+02 7.235080972313880920e-01 4.629053480774167895e-01
1.280000000000000000e+02 6.747773587703704834e-01 4.631533466637134389e-01
1.290000000000000000e+02 7.474208846688270569e-01 4.756266853064299305e-01
1.300000000000000000e+02 7.213539034128189087e-01 4.680016870021823649e-01
1.310000000000000000e+02 7.481753379106521606e-01 4.690972789436578250e-01
1.320000000000000000e+02 6.730328649282455444e-01 4.749454410552978456e-01
1.330000000000000000e+02 6.645707562565803528e-01 4.730089196324349654e-01
1.340000000000000000e+02 6.588023006916046143e-01 4.733661652982235069e-01
1.350000000000000000e+02 6.938594356179237366e-01 4.764489738196138191e-01
1.360000000000000000e+02 6.614768281579017639e-01 4.782097124963998747e-01
1.370000000000000000e+02 6.439457163214683533e-01 4.794693456977605628e-01
1.380000000000000000e+02 6.745990738272666931e-01 4.826346176087856765e-01
1.390000000000000000e+02 6.527040824294090271e-01 4.802701339572670314e-01
1.400000000000000000e+02 6.829405426979064941e-01 4.810550762653353907e-01
1.410000000000000000e+02 6.670879125595092773e-01 4.824522514998914602e-01
1.420000000000000000e+02 6.636929661035537720e-01 4.869970542252064494e-01
1.430000000000000000e+02 6.981175765395164490e-01 4.874244905471802891e-01
1.440000000000000000e+02 6.499191001057624817e-01 4.859407519876959292e-01
1.450000000000000000e+02 6.556380242109298706e-01 4.885883411645890462e-01
1.460000000000000000e+02 7.324678674340248108e-01 4.883739529967310311e-01
1.470000000000000000e+02 7.660523355007171631e-01 4.997979226171973544e-01
1.480000000000000000e+02 6.556162759661674500e-01 4.883875432580710996e-01
1.490000000000000000e+02 6.621201261878013611e-01 4.887609795659781931e-01
1.500000000000000000e+02 6.592099964618682861e-01 4.876974437683823105e-01
1.510000000000000000e+02 6.363285556435585022e-01 4.949772569537163047e-01
1.520000000000000000e+02 6.568763405084609985e-01 4.922099063873290881e-01
1.530000000000000000e+02 6.940153613686561584e-01 4.943053330749273555e-01
1.540000000000000000e+02 6.956615820527076721e-01 4.936715859711170440e-01
1.550000000000000000e+02 7.015708461403846741e-01 4.930816165536642259e-01
1.560000000000000000e+02 7.025752589106559753e-01 4.937901611447332861e-01
1.570000000000000000e+02 6.391479521989822388e-01 4.969198074609044724e-01
1.580000000000000000e+02 6.434315145015716553e-01 4.968287621051072911e-01
1.590000000000000000e+02 6.423147097229957581e-01 4.969872686445713228e-01
1.600000000000000000e+02 6.575812101364135742e-01 4.991005203276872582e-01
1.610000000000000000e+02 6.633879691362380981e-01 5.036770657777789317e-01
1.620000000000000000e+02 6.866097226738929749e-01 4.997246224343776522e-01
1.630000000000000000e+02 6.214434206485748291e-01 5.016957227230072203e-01
1.640000000000000000e+02 6.415987163782119751e-01 4.995541932314635503e-01
1.650000000000000000e+02 6.204231455922126770e-01 5.030905761331321280e-01
1.660000000000000000e+02 6.571696177124977112e-01 5.040283731371164588e-01
1.670000000000000000e+02 6.528964787721633911e-01 5.035497034281495310e-01
1.680000000000000000e+02 6.150094494223594666e-01 5.066614054590465877e-01
1.690000000000000000e+02 6.252856478095054626e-01 5.055989374309777240e-01
1.700000000000000000e+02 6.733603775501251221e-01 5.017273238003259195e-01
1.710000000000000000e+02 6.325806528329849243e-01 5.079269404202699789e-01
1.720000000000000000e+02 6.556164994835853577e-01 5.034844017177819708e-01
1.730000000000000000e+02 6.336809024214744568e-01 5.055802491068841498e-01
