epoch train test
0.000 27.598 31.780
1.000 38.910 45.920
2.000 44.600 54.090
3.000 43.270 51.830
4.000 48.536 58.290
5.000 51.982 61.650
6.000 53.234 63.500
7.000 57.410 69.410
8.000 58.692 70.290
9.000 58.646 69.480
10.000 59.618 70.880
11.000 62.018 74.450
12.000 60.088 72.060
13.000 57.788 68.420
14.000 64.478 76.430
15.000 61.708 73.730
16.000 62.472 73.370
17.000 63.638 74.670
18.000 66.458 78.600
19.000 64.654 75.120
20.000 66.392 77.810
21.000 66.828 78.050
22.000 66.864 78.000
23.000 66.650 77.750
24.000 68.130 79.600
25.000 64.506 74.870
26.000 68.386 79.680
27.000 65.578 74.840
28.000 68.444 79.230
29.000 66.992 77.240
30.000 67.790 77.000
31.000 68.222 77.840
32.000 66.776 74.690
33.000 69.142 78.280
34.000 69.024 77.500
35.000 70.052 79.320
36.000 66.764 74.070
37.000 66.134 73.580
38.000 69.762 76.940
39.000 70.162 78.470
40.000 69.488 77.440
41.000 68.888 77.040
42.000 70.082 78.240
43.000 66.044 72.760
44.000 69.810 77.340
45.000 68.260 73.640
46.000 69.462 75.120
47.000 70.304 76.670
48.000 71.734 78.380
49.000 71.578 77.880
50.000 69.898 74.610
51.000 71.944 77.730
52.000 72.448 78.310
53.000 71.946 77.000
54.000 71.590 76.720
55.000 72.606 77.010
56.000 72.356 76.840
57.000 71.744 75.830
58.000 73.720 78.220
59.000 73.614 77.760
60.000 71.640 74.380
61.000 72.366 74.610
62.000 73.298 76.050
63.000 71.974 75.100
64.000 73.544 75.940
65.000 72.594 75.350
66.000 75.352 78.000
67.000 73.878 75.520
68.000 74.156 75.390
69.000 74.638 75.790
70.000 75.112 75.890
71.000 72.108 72.830
72.000 73.920 73.910
73.000 74.846 74.800
74.000 74.802 74.630
75.000 74.468 74.690
76.000 73.900 73.800
77.000 74.630 72.730
78.000 75.524 73.460
79.000 75.476 75.190
80.000 74.798 72.140
81.000 75.930 73.530
82.000 75.064 73.280
83.000 77.088 74.700
84.000 76.706 73.960
85.000 76.304 72.970
86.000 75.872 73.340
87.000 70.528 66.510
88.000 75.702 71.970
89.000 77.058 72.740
90.000 77.654 73.250
91.000 79.122 74.890
92.000 77.370 73.230
93.000 74.298 70.340
94.000 77.812 71.830
95.000 78.586 72.460
96.000 78.152 70.680
97.000 76.512 69.420
98.000 78.522 72.090
99.000 79.460 73.430
100.000 80.842 73.600
101.000 80.456 72.990
102.000 80.464 73.350
103.000 80.406 73.580
104.000 74.876 66.310
105.000 80.976 72.730
106.000 79.844 70.860
107.000 81.614 72.960
108.000 81.666 72.570
109.000 81.530 71.410
110.000 81.856 72.250
111.000 80.888 72.290
112.000 78.570 68.090
113.000 81.856 71.650
114.000 79.966 70.250
115.000 82.476 72.430
116.000 82.220 71.290
117.000 81.836 70.010
118.000 80.938 70.200
119.000 82.114 71.300
120.000 82.292 70.330
121.000 83.940 71.610
122.000 82.300 71.990
123.000 83.788 70.930
124.000 82.690 69.880
125.000 82.938 69.850
126.000 83.280 70.960
127.000 84.112 71.350
128.000 83.256 69.530
129.000 85.108 71.780
130.000 84.400 70.430
131.000 81.728 67.470
132.000 84.312 68.900
133.000 84.894 70.810
134.000 84.676 69.580
135.000 83.992 69.030
136.000 85.766 69.770
137.000 84.306 68.770
138.000 86.722 71.220
139.000 85.970 70.170
140.000 85.654 69.700
141.000 87.330 71.450
142.000 85.948 69.320
143.000 85.562 70.280
144.000 85.358 68.040
145.000 86.972 70.290
146.000 86.604 70.220
147.000 86.910 69.020
148.000 86.136 68.330
149.000 87.800 70.600
150.000 86.642 68.960
151.000 88.924 71.180
152.000 88.010 70.200
153.000 88.466 71.440
154.000 88.118 69.200
155.000 87.956 68.870
156.000 87.940 68.980
157.000 89.136 70.840
158.000 88.568 69.200
159.000 89.530 70.050
160.000 89.204 69.690
161.000 89.854 69.390
162.000 88.644 69.760
163.000 88.618 70.340
164.000 88.912 68.910
165.000 88.866 68.860
166.000 88.764 69.280
167.000 88.356 69.120
168.000 89.356 68.660
169.000 90.474 70.210
170.000 89.280 69.340
171.000 90.394 70.730
172.000 89.490 69.150
173.000 90.294 70.280
174.000 91.340 70.490
175.000 89.998 69.190
176.000 91.510 69.430
177.000 90.922 69.870
178.000 91.328 70.200
179.000 91.518 69.410
180.000 91.716 69.470
181.000 91.306 70.250
182.000 91.188 68.760
183.000 91.998 70.090
184.000 91.720 70.720
185.000 90.104 69.040
186.000 92.756 70.890
187.000 90.626 69.290
188.000 91.760 68.680
189.000 92.996 70.450
190.000 92.722 70.380
191.000 91.528 69.510
192.000 91.950 69.700
193.000 93.684 70.570
194.000 93.304 70.990
195.000 92.392 69.760
196.000 92.376 69.690
197.000 93.176 69.500
198.000 92.342 69.940
199.000 92.742 69.310
200.000 92.792 69.020
201.000 92.512 67.900
202.000 93.926 68.970
203.000 92.816 70.130
204.000 93.516 70.540
205.000 92.966 69.140
206.000 93.528 69.600
207.000 92.386 68.240
208.000 92.432 67.110
209.000 93.808 69.460
210.000 93.544 69.640
211.000 93.406 69.240
212.000 93.874 70.280
213.000 94.000 69.490
214.000 93.092 69.240
215.000 92.968 67.940
216.000 94.160 69.730
217.000 94.702 69.720
218.000 93.986 68.310
219.000 94.812 70.230
220.000 93.274 68.890
221.000 94.786 70.350
222.000 94.394 69.730
223.000 94.588 69.200
224.000 94.612 69.670
225.000 94.796 69.720
226.000 94.694 69.270
227.000 94.962 69.980
228.000 95.054 70.940
229.000 93.544 67.960
230.000 94.840 70.020
231.000 94.346 69.370
232.000 94.762 70.020
233.000 94.730 69.900
234.000 95.736 69.430
235.000 95.418 69.810
236.000 94.360 69.720
237.000 94.850 69.410
238.000 95.038 69.870
239.000 95.620 70.280
240.000 95.230 70.160
241.000 95.266 69.730
242.000 95.426 69.920
243.000 95.684 70.290
244.000 95.018 69.450
245.000 95.648 71.030
246.000 95.426 68.850
247.000 95.492 70.380
248.000 95.814 69.970
249.000 95.886 70.530
250.000 94.016 68.300
251.000 96.052 69.930
252.000 96.182 70.130
253.000 96.266 69.990
254.000 96.206 70.040
255.000 96.042 69.930
256.000 95.958 70.490
257.000 96.072 69.100
258.000 96.070 69.910
259.000 95.714 69.630
260.000 96.632 69.260
261.000 96.600 70.400
262.000 95.880 69.260
263.000 95.414 69.730
264.000 96.414 70.500
265.000 96.218 68.730
266.000 96.804 70.160
267.000 96.276 69.770
268.000 96.488 70.200
269.000 96.920 70.290
270.000 96.992 69.580
271.000 96.920 69.570
272.000 96.586 70.110
273.000 96.484 69.590
274.000 96.744 69.930
275.000 96.480 69.520
276.000 96.854 70.640
277.000 96.900 70.410
278.000 96.524 69.970
279.000 96.114 69.110
280.000 96.862 70.300
281.000 96.696 69.650
282.000 97.154 69.820
283.000 97.416 69.860
284.000 96.548 69.850
285.000 97.040 69.900
286.000 97.196 69.990
287.000 96.874 69.590
288.000 97.026 69.560
289.000 96.988 70.050
290.000 97.112 70.340
291.000 97.288 69.940
292.000 97.412 70.500
293.000 97.596 70.370
294.000 96.546 69.430
295.000 97.460 70.090
296.000 97.728 70.390
297.000 97.586 70.770
298.000 97.514 70.690
299.000 97.222 69.760
300.000 97.516 69.870
301.000 97.520 70.590
302.000 97.770 69.880
303.000 97.416 70.250
304.000 97.702 70.900
305.000 97.576 70.440
306.000 97.514 69.490
307.000 97.720 70.770
308.000 97.870 70.320
309.000 98.008 70.480
310.000 97.870 70.640
311.000 97.838 70.660
312.000 97.734 69.590
313.000 97.422 69.380
314.000 97.500 69.510
315.000 98.036 70.030
316.000 97.968 70.550
317.000 97.818 70.580
318.000 97.672 69.780
319.000 97.810 70.470
320.000 97.720 70.480
321.000 97.742 70.140
322.000 98.016 70.290
323.000 97.864 70.220
324.000 98.064 69.910
