epoch train test
0.000 41.884 51.880
1.000 50.142 60.850
2.000 56.292 68.810
3.000 58.586 71.440
4.000 60.026 72.220
5.000 61.286 74.330
6.000 62.410 74.630
7.000 62.434 76.010
8.000 63.982 77.190
9.000 65.054 78.000
10.000 65.194 78.280
11.000 65.660 79.240
12.000 65.546 78.980
13.000 65.852 79.500
14.000 66.936 80.740
15.000 66.748 80.060
16.000 67.666 80.930
17.000 67.434 80.350
18.000 67.478 80.010
19.000 68.968 81.790
20.000 68.928 82.020
21.000 68.398 81.550
22.000 69.310 82.550
23.000 68.726 81.630
24.000 68.744 81.250
25.000 68.682 81.160
26.000 68.388 80.050
27.000 69.232 81.960
28.000 70.458 82.990
29.000 69.864 82.380
30.000 69.258 81.530
31.000 70.734 83.720
32.000 70.216 83.470
33.000 70.090 82.560
34.000 70.688 82.920
35.000 71.256 83.510
36.000 71.300 83.330
37.000 71.542 83.390
38.000 70.840 82.420
39.000 71.776 83.530
40.000 70.722 82.120
41.000 71.848 83.890
42.000 70.596 81.480
43.000 71.722 83.380
44.000 72.444 84.380
45.000 71.884 83.130
46.000 71.820 83.270
47.000 71.262 81.770
48.000 72.710 83.570
49.000 71.676 82.120
50.000 72.058 81.800
51.000 72.920 84.100
52.000 73.002 84.180
53.000 72.870 83.770
54.000 73.422 84.420
55.000 73.064 83.300
56.000 73.172 83.500
57.000 73.774 83.720
58.000 72.882 82.820
59.000 73.764 84.550
60.000 73.864 84.160
61.000 74.222 84.530
62.000 73.468 83.500
63.000 74.068 83.940
64.000 74.472 84.440
65.000 74.222 84.100
66.000 74.082 84.030
67.000 73.688 83.410
68.000 74.270 83.820
69.000 74.906 84.760
70.000 74.456 83.860
71.000 73.684 83.000
72.000 75.182 84.250
73.000 74.988 84.310
74.000 74.508 83.300
75.000 73.454 82.370
76.000 74.788 83.700
77.000 74.554 83.250
78.000 74.942 83.190
79.000 75.834 84.210
80.000 76.004 84.480
81.000 74.730 82.180
82.000 74.808 83.020
83.000 75.892 84.330
84.000 75.532 83.190
85.000 75.836 83.830
86.000 75.640 83.590
87.000 75.586 82.660
88.000 75.880 83.300
89.000 75.744 83.380
90.000 75.724 83.160
91.000 75.498 82.060
92.000 76.004 83.420
93.000 76.546 84.060
94.000 76.756 84.210
95.000 76.180 82.630
96.000 75.592 81.700
97.000 76.044 82.340
98.000 76.280 82.940
99.000 76.724 83.310
100.000 76.658 83.010
101.000 76.858 82.710
102.000 76.418 82.120
103.000 76.846 83.650
104.000 77.026 83.120
105.000 76.862 82.760
106.000 77.462 83.650
107.000 76.944 82.260
108.000 77.536 83.530
109.000 77.548 82.450
110.000 75.846 80.120
111.000 77.330 82.480
112.000 77.300 81.530
113.000 77.052 82.400
114.000 78.142 83.980
115.000 77.706 81.980
116.000 77.566 82.570
117.000 77.584 82.110
118.000 77.848 82.260
119.000 78.328 82.600
120.000 78.254 82.500
121.000 78.058 82.550
122.000 78.630 83.480
123.000 78.600 81.960
124.000 78.266 81.510
125.000 78.402 82.710
126.000 79.332 83.330
127.000 78.964 81.590
128.000 78.614 82.240
129.000 78.450 81.880
130.000 78.488 81.760
131.000 79.070 81.800
132.000 77.288 79.780
