epoch conv ff
0.000000000000000000e+00 2.844627086456498289e-07 3.763530403375625475e-05
1.000000000000000000e+00 4.060153496431558178e-07 4.084649262949824469e-05
2.000000000000000000e+00 4.745258636455396144e-07 5.504022119566798481e-05
3.000000000000000000e+00 4.309279315343466257e-07 4.302671877667307989e-05
4.000000000000000000e+00 4.129575373226996731e-07 5.509273614734411240e-05
5.000000000000000000e+00 6.313595051429155956e-07 6.731101893819868565e-05
6.000000000000000000e+00 4.842953667371456564e-07 5.301447235979139534e-05
7.000000000000000000e+00 5.016674134449690165e-07 4.794496344402432171e-05
8.000000000000000000e+00 4.601416342305636266e-07 4.533805185928941044e-05
9.000000000000000000e+00 5.590560145784240539e-07 5.451358156278729168e-05
1.000000000000000000e+01 5.967843661872295223e-07 5.147714400663971765e-05
1.100000000000000000e+01 4.759342595586653368e-07 4.046170797664672001e-05
1.200000000000000000e+01 6.195584720411408003e-07 5.839796504005789892e-05
1.300000000000000000e+01 5.808242316516395237e-07 5.264027277007699013e-05
1.400000000000000000e+01 6.371929522047547217e-07 6.449771462939679894e-05
1.500000000000000000e+01 8.511143266222989848e-07 8.009271114133298668e-05
1.600000000000000000e+01 7.567317550268831192e-07 6.965947104617953843e-05
1.700000000000000000e+01 6.612513053149732159e-07 5.936004454270005497e-05
1.800000000000000000e+01 6.509783999603344953e-07 5.271117552183568342e-05
1.900000000000000000e+01 6.829615736318148034e-07 6.173764704726636139e-05
2.000000000000000000e+01 6.447051483570785800e-07 5.212254473008215427e-05
2.100000000000000000e+01 7.363259800171339467e-07 6.691323360428214615e-05
2.200000000000000000e+01 6.389330290902410842e-07 4.873714933637529476e-05
2.300000000000000000e+01 6.220436612412589344e-07 4.044905654154717922e-05
2.400000000000000000e+01 7.610455500614784518e-07 6.722116959281265194e-05
2.500000000000000000e+01 7.050873726685818115e-07 5.014020134694874151e-05
2.600000000000000000e+01 7.751100267128751561e-07 6.235279724933206493e-05
2.700000000000000000e+01 9.011437044997464452e-07 7.866721716709434986e-05
2.800000000000000000e+01 8.097356021900700949e-07 6.015218677930533615e-05
2.900000000000000000e+01 8.818143152609358202e-07 7.427438977174461159e-05
3.000000000000000000e+01 7.942382503018926025e-07 5.816838238388299671e-05
3.100000000000000000e+01 1.047675604454958082e-06 8.464653510600327903e-05
3.200000000000000000e+01 8.802393865736666116e-07 7.026860257610678131e-05
3.300000000000000000e+01 8.771114694981258146e-07 7.159220986068249020e-05
3.400000000000000000e+01 7.554229867897040133e-07 5.228671361692249910e-05
3.500000000000000000e+01 7.583929564584646091e-07 5.165732000023126602e-05
3.600000000000000000e+01 8.065799192255522056e-07 5.116076790727675232e-05
3.700000000000000000e+01 9.241113862121197937e-07 6.577887688763439655e-05
3.800000000000000000e+01 8.109188513498113978e-07 4.884082591161131859e-05
3.900000000000000000e+01 9.795784710821946477e-07 7.305936305783689293e-05
4.000000000000000000e+01 8.903659719819433730e-07 5.701889167539775236e-05
4.100000000000000000e+01 9.891923991645830008e-07 6.757389637641608444e-05
4.200000000000000000e+01 8.227595444518360446e-07 5.440652021206915514e-05
4.300000000000000000e+01 8.771426325276186195e-07 5.649836966767907007e-05
4.400000000000000000e+01 1.034457808025667271e-06 7.430273108184337345e-05
4.500000000000000000e+01 1.048923245067389482e-06 6.979537429288029129e-05
4.600000000000000000e+01 1.094604304670514897e-06 9.026793995872139389e-05
4.700000000000000000e+01 1.159232299633345818e-06 8.316037710756062919e-05
4.800000000000000000e+01 1.122378647013292261e-06 7.887788233347236839e-05
4.900000000000000000e+01 9.742935238716253239e-07 6.025659968145191669e-05
5.000000000000000000e+01 1.064265917992494814e-06 6.649827118963003701e-05
5.100000000000000000e+01 1.063177916794599258e-06 6.517868605442345413e-05
5.200000000000000000e+01 1.050683794000344353e-06 6.692114402540028095e-05
5.300000000000000000e+01 1.090303679584374245e-06 7.648395840078591758e-05
5.400000000000000000e+01 1.070209825722361873e-06 6.147502572275697643e-05
5.500000000000000000e+01 1.067423364801417244e-06 5.574516253545880182e-05
5.600000000000000000e+01 1.128583325417787622e-06 6.314344936981796947e-05
5.700000000000000000e+01 1.232995947276666059e-06 8.818358182907103950e-05
5.800000000000000000e+01 1.225516358855146890e-06 7.873562863096595082e-05
5.900000000000000000e+01 1.188994590789073271e-06 7.241882267408072406e-05
6.000000000000000000e+01 1.157866555364113710e-06 6.314227939583361691e-05
