sv conv fc
3.093283081054687500e+02 3.220478892326354980e-01 9.467234015464782715e-01
3.073315429687500000e+02 3.023791909217834473e-01 9.531877040863037109e-01
3.061842651367187500e+02 2.913056313991546631e-01 9.566299915313720703e-01
3.048404541015625000e+02 2.766302227973937988e-01 9.609764814376831055e-01
3.041185302734375000e+02 2.681164741516113281e-01 9.633865356445312500e-01
3.033747558593750000e+02 2.593838870525360107e-01 9.657742977142333984e-01
3.030028991699218750e+02 2.548926770687103271e-01 9.669693708419799805e-01
3.021955566406250000e+02 2.446610778570175171e-01 9.696086645126342773e-01
3.009859008789062500e+02 2.284770160913467407e-01 9.735493063926696777e-01
2.997951049804687500e+02 2.107662409543991089e-01 9.775364995002746582e-01
1.075576477050781250e+02 9.978505969047546387e-01 6.552525609731674194e-02
1.044169540405273438e+02 9.976565241813659668e-01 6.841673702001571655e-02
9.787934112548828125e+01 9.972637891769409180e-01 7.392203062772750854e-02
9.543035888671875000e+01 9.964067935943603516e-01 8.469364047050476074e-02
9.423170471191406250e+01 9.969323277473449707e-01 7.826647907495498657e-02
8.841309356689453125e+01 9.970353245735168457e-01 7.694392651319503784e-02
8.600978851318359375e+01 9.973068237304687500e-01 7.333911955356597900e-02
8.423139190673828125e+01 9.970752596855163574e-01 7.642439752817153931e-02
8.222355651855468750e+01 9.968459010124206543e-01 7.935759425163269043e-02
8.131752777099609375e+01 9.966796636581420898e-01 8.142051845788955688e-02
7.969412994384765625e+01 9.962377548217773438e-01 8.666127175092697144e-02
7.755731201171875000e+01 9.967662692070007324e-01 8.035340905189514160e-02
7.668726348876953125e+01 9.969162344932556152e-01 7.847074419260025024e-02
7.516060638427734375e+01 9.971479177474975586e-01 7.547138631343841553e-02
7.367621612548828125e+01 9.964848756790161133e-01 8.377064019441604614e-02
7.328925323486328125e+01 9.951121807098388672e-01 9.875093400478363037e-02
7.256715393066406250e+01 9.959524869918823242e-01 8.987917751073837280e-02
7.237017822265625000e+01 9.960851669311523438e-01 8.839765936136245728e-02
7.028831481933593750e+01 9.937788248062133789e-01 1.113709136843681335e-01
7.009406280517578125e+01 9.962150454521179199e-01 8.692129701375961304e-02
6.919290161132812500e+01 9.934245944023132324e-01 1.144874691963195801e-01
6.898410797119140625e+01 9.956046938896179199e-01 9.365532547235488892e-02
6.886216735839843750e+01 9.962571263313293457e-01 8.643878996372222900e-02
6.810308074951171875e+01 9.954242706298828125e-01 9.555248916149139404e-02
6.755094146728515625e+01 9.957703948020935059e-01 9.187548607587814331e-02
6.699282073974609375e+01 9.956587553024291992e-01 9.307773411273956299e-02
6.667340850830078125e+01 9.949844479560852051e-01 1.000288575887680054e-01
6.651340484619140625e+01 9.951586127281188965e-01 9.828136861324310303e-02
6.599022674560546875e+01 9.930400848388671875e-01 1.177763715386390686e-01
6.544114685058593750e+01 9.953081607818603516e-01 9.675542265176773071e-02
6.505377197265625000e+01 9.956309199333190918e-01 9.337562322616577148e-02
6.454779052734375000e+01 9.933965206146240234e-01 1.147313266992568970e-01
6.409245300292968750e+01 9.949551224708557129e-01 1.003201231360435486e-01
6.361594772338867188e+01 9.956864118576049805e-01 9.278099983930587769e-02
6.346907806396484375e+01 9.958719611167907715e-01 9.076841920614242554e-02
6.303351974487304688e+01 9.950671195983886719e-01 9.920391440391540527e-02
6.283665466308593750e+01 9.952737689018249512e-01 9.710908681154251099e-02
6.246569061279296875e+01 9.952459931373596191e-01 9.739171713590621948e-02
6.236083984375000000e+01 9.953566193580627441e-01 9.625547379255294800e-02
6.187752151489257812e+01 9.947004318237304688e-01 1.028153374791145325e-01
6.147432327270507812e+01 9.943675994873046875e-01 1.059853732585906982e-01
6.136490631103515625e+01 9.958413839340209961e-01 9.110331535339355469e-02
6.116033554077148438e+01 9.955750703811645508e-01 9.396886080503463745e-02
6.086434936523437500e+01 9.947752356529235840e-01 1.020893454551696777e-01
6.070330429077148438e+01 9.956886172294616699e-01 9.275831282138824463e-02
6.055612182617187500e+01 9.947180151939392090e-01 1.026439741253852844e-01
