t risk
1.000000000000000000e+00 1.438076400756835938e+01
1.000000000000000000e+00 1.438076400756835938e+01
1.000000000000000000e+00 1.438076400756835938e+01
1.000000000000000000e+00 1.438076400756835938e+01
1.000000000000000000e+00 1.438076400756835938e+01
1.000000000000000000e+00 1.438076400756835938e+01
1.000000000000000000e+00 1.438076400756835938e+01
1.000000000000000000e+00 1.438076400756835938e+01
1.000000000000000000e+00 1.438076400756835938e+01
1.000000000000000000e+00 1.438076400756835938e+01
1.000000000000000000e+00 1.438076400756835938e+01
1.000000000000000000e+00 1.438076400756835938e+01
1.000000000000000000e+00 1.438076400756835938e+01
1.000000000000000000e+00 1.438076400756835938e+01
1.000000000000000000e+00 1.438076400756835938e+01
1.000000000000000000e+00 1.438076400756835938e+01
1.000000000000000000e+00 1.438076400756835938e+01
1.000000000000000000e+00 1.438076400756835938e+01
1.000000000000000000e+00 1.438076400756835938e+01
1.000000000000000000e+00 1.438076400756835938e+01
1.000000000000000000e+00 1.438076400756835938e+01
1.000000000000000000e+00 1.438076400756835938e+01
1.000000000000000000e+00 1.438076400756835938e+01
1.000000000000000000e+00 1.438076400756835938e+01
1.000000000000000000e+00 1.438076400756835938e+01
1.000000000000000000e+00 1.438076400756835938e+01
1.000000000000000000e+00 1.438076400756835938e+01
1.000000000000000000e+00 1.438076400756835938e+01
1.000000000000000000e+00 1.438076400756835938e+01
1.000000000000000000e+00 1.438076400756835938e+01
1.000000000000000000e+00 1.438076400756835938e+01
1.000000000000000000e+00 1.438076400756835938e+01
1.000000000000000000e+00 1.438076400756835938e+01
1.000000000000000000e+00 1.438076400756835938e+01
1.000000000000000000e+00 1.438076400756835938e+01
1.000000000000000000e+00 1.438076400756835938e+01
1.000000000000000000e+00 1.438076400756835938e+01
1.000000000000000000e+00 1.438076400756835938e+01
1.000000000000000000e+00 1.438076400756835938e+01
1.000000000000000000e+00 1.438076400756835938e+01
1.000000000000000000e+00 1.438076400756835938e+01
1.000000000000000000e+00 1.438076400756835938e+01
1.000000000000000000e+00 1.438076400756835938e+01
1.000000000000000000e+00 1.438076400756835938e+01
1.000000000000000000e+00 1.438076400756835938e+01
2.000000000000000000e+00 1.337991809844970703e+01
2.000000000000000000e+00 1.337991809844970703e+01
2.000000000000000000e+00 1.337991809844970703e+01
2.000000000000000000e+00 1.337991809844970703e+01
2.000000000000000000e+00 1.337991809844970703e+01
2.000000000000000000e+00 1.337991809844970703e+01
2.000000000000000000e+00 1.337991809844970703e+01
2.000000000000000000e+00 1.337991809844970703e+01
2.000000000000000000e+00 1.337991809844970703e+01
2.000000000000000000e+00 1.337991809844970703e+01
2.000000000000000000e+00 1.337991809844970703e+01
2.000000000000000000e+00 1.337991809844970703e+01
2.000000000000000000e+00 1.337991809844970703e+01
2.000000000000000000e+00 1.337991809844970703e+01
2.000000000000000000e+00 1.337991809844970703e+01
2.000000000000000000e+00 1.337991809844970703e+01
2.000000000000000000e+00 1.337991809844970703e+01
2.000000000000000000e+00 1.337991809844970703e+01
2.000000000000000000e+00 1.337991809844970703e+01
2.000000000000000000e+00 1.337991809844970703e+01
2.000000000000000000e+00 1.337991809844970703e+01
2.000000000000000000e+00 1.337991809844970703e+01
2.000000000000000000e+00 1.337991809844970703e+01
2.000000000000000000e+00 1.337991809844970703e+01
2.000000000000000000e+00 1.337991809844970703e+01
2.000000000000000000e+00 1.337991809844970703e+01
