t vw vv vT
1.929477310180664062e+01 9.987702965736389160e-01 4.957669228315353394e-02 9.999999403953552246e-01
1.825658035278320312e+01 9.990963935852050781e-01 4.250222072005271912e-02 1.000000000000000000e+00
1.801064872741699219e+01 9.986705780029296875e-01 5.154639482498168945e-02 1.000000000000000000e+00
1.668878936767578125e+01 9.990971684455871582e-01 4.248298704624176025e-02 1.000000000000000000e+00
1.565621948242187500e+01 9.950784444808959961e-01 9.908997267484664917e-02 9.999999403953552246e-01
1.483632469177246094e+01 9.599732756614685059e-01 2.800917029380798340e-01 1.000000000000000000e+00
1.436029052734375000e+01 9.852309823036193848e-01 1.712304949760437012e-01 1.000000000000000000e+00
1.395515918731689453e+01 9.993647933006286621e-01 3.563773259520530701e-02 1.000000000000000000e+00
1.345937538146972656e+01 9.938506484031677246e-01 1.107289344072341919e-01 1.000000000000000000e+00
1.320205879211425781e+01 9.991729855537414551e-01 4.066171869635581970e-02 1.000000000000000000e+00
1.253061389923095703e+01 9.990020394325256348e-01 4.466497898101806641e-02 1.000000000000000000e+00
1.175946235656738281e+01 9.991173148155212402e-01 4.200722649693489075e-02 1.000000000000000000e+00
1.108908367156982422e+01 9.955494999885559082e-01 9.424003958702087402e-02 1.000000000000000000e+00
1.054191970825195312e+01 9.995995163917541504e-01 2.829978615045547485e-02 1.000000000000000000e+00
1.023305988311767578e+01 9.806022644042968750e-01 1.960083693265914917e-01 1.000000000000000000e+00
1.002589321136474609e+01 9.984292387962341309e-01 5.602676793932914734e-02 9.999999403953552246e-01
9.618661880493164062e+00 9.694713354110717773e-01 2.452047616243362427e-01 1.000000000000000000e+00
9.201514244079589844e+00 9.261462688446044922e-01 3.771644234657287598e-01 9.999999403953552246e-01
8.876935958862304688e+00 9.461761713027954102e-01 3.236521482467651367e-01 1.000000000000000000e+00
8.689393997192382812e+00 9.985299110412597656e-01 5.420257523655891418e-02 9.999999403953552246e-01
8.422834396362304688e+00 9.491916894912719727e-01 3.146984577178955078e-01 1.000000000000000000e+00
7.871809005737304688e+00 9.925686120986938477e-01 1.216859519481658936e-01 9.999999403953552246e-01
7.617447853088378906e+00 9.992172122001647949e-01 3.955888003110885620e-02 9.999999403953552246e-01
7.446091651916503906e+00 9.826750755310058594e-01 1.853368282318115234e-01 1.000000000000000000e+00
7.389892578125000000e+00 9.997268915176391602e-01 2.336987480521202087e-02 1.000000000000000000e+00
7.172397136688232422e+00 9.962229728698730469e-01 8.683205395936965942e-02 1.000000000000000000e+00
6.908748149871826172e+00 9.973220825195312500e-01 7.313413918018341064e-02 9.999999403953552246e-01
6.580381870269775391e+00 9.885946512222290039e-01 1.506009697914123535e-01 1.000000000000000000e+00
6.267409324645996094e+00 9.660874605178833008e-01 2.582150697708129883e-01 1.000000000000000000e+00
6.130401611328125000e+00 9.943351149559020996e-01 1.062908470630645752e-01 1.000000000000000000e+00
6.057469367980957031e+00 9.983550906181335449e-01 5.733259767293930054e-02 9.999999403953552246e-01
5.918620586395263672e+00 9.993073344230651855e-01 3.721388801932334900e-02 1.000000000000000000e+00
5.359328746795654297e+00 9.968457818031311035e-01 7.936276495456695557e-02 9.999999403953552246e-01
4.929515361785888672e+00 9.980636239051818848e-01 6.220169737935066223e-02 1.000000000000000000e+00
4.805699825286865234e+00 9.933920502662658691e-01 1.147703006863594055e-01 1.000000000000000000e+00
4.665051460266113281e+00 9.997084736824035645e-01 2.414381504058837891e-02 9.999999403953552246e-01
4.452689647674560547e+00 9.996054768562316895e-01 2.808827348053455353e-02 1.000000000000000000e+00
4.372156620025634766e+00 9.945139288902282715e-01 1.046045199036598206e-01 1.000000000000000000e+00
4.077810764312744141e+00 9.975089430809020996e-01 7.054014503955841064e-02 1.000000000000000000e+00
3.970439910888671875e+00 9.983021616935729980e-01 5.824777111411094666e-02 1.000000000000000000e+00
3.775528907775878906e+00 9.953156113624572754e-01 9.667910635471343994e-02 1.000000000000000000e+00
3.736618995666503906e+00 9.858786463737487793e-01 1.674614399671554565e-01 1.000000000000000000e+00
3.662277698516845703e+00 9.827245473861694336e-01 1.850741505622863770e-01 1.000000000000000000e+00
3.589062929153442383e+00 9.987869262695312500e-01 4.924146831035614014e-02 1.000000000000000000e+00
3.430686235427856445e+00 9.983710050582885742e-01 5.705533176660537720e-02 1.000000000000000000e+00
3.162592887878417969e+00 9.993132948875427246e-01 3.705400601029396057e-02 1.000000000000000000e+00
3.037228584289550781e+00 9.982568025588989258e-01 5.902013555169105530e-02 1.000000000000000000e+00
2.855225086212158203e+00 9.913761019706726074e-01 1.310475915670394897e-01 1.000000000000000000e+00
2.793476343154907227e+00 9.958255290985107422e-01 9.127675741910934448e-02 9.999999403953552246e-01
2.729797363281250000e+00 9.997926950454711914e-01 2.036182768642902374e-02 1.000000000000000000e+00
2.455036640167236328e+00 9.996340870857238770e-01 2.704963460564613342e-02 1.000000000000000000e+00
2.101628541946411133e+00 9.998793601989746094e-01 1.553306821733713150e-02 1.000000000000000000e+00
2.052044391632080078e+00 9.987559914588928223e-01 4.986504465341567993e-02 1.000000000000000000e+00
1.990784764289855957e+00 9.998946189880371094e-01 1.451656688004732132e-02 9.999999403953552246e-01
1.967480778694152832e+00 9.987604022026062012e-01 4.977568984031677246e-02 1.000000000000000000e+00
1.836661577224731445e+00 9.998860359191894531e-01 1.509568654000759125e-02 9.999999403953552246e-01
1.816316962242126465e+00 9.991675615310668945e-01 4.079566523432731628e-02 1.000000000000000000e+00
1.759853005409240723e+00 9.998775720596313477e-01 1.564794965088367462e-02 1.000000000000000000e+00
1.707372784614562988e+00 9.997622370719909668e-01 2.180408686399459839e-02 9.999999403953552246e-01
1.680411815643310547e+00 9.997643828392028809e-01 2.170782722532749176e-02 1.000000000000000000e+00
1.641598105430603027e+00 9.982445240020751953e-01 5.922725424170494080e-02 1.000000000000000000e+00
1.621330857276916504e+00 9.989024400711059570e-01 4.683969542384147644e-02 1.000000000000000000e+00
1.598690748214721680e+00 9.998495578765869141e-01 1.734461262822151184e-02 9.999999403953552246e-01
1.548202991485595703e+00 9.998578429222106934e-01 1.686113141477108002e-02 1.000000000000000000e+00
1.528102636337280273e+00 9.996849894523620605e-01 2.509741671383380890e-02 1.000000000000000000e+00
1.516968488693237305e+00 9.998143315315246582e-01 1.926979981362819672e-02 1.000000000000000000e+00
1.494546294212341309e+00 9.998395442962646484e-01 1.791390217840671539e-02 1.000000000000000000e+00
1.467378020286560059e+00 9.996498823165893555e-01 2.645911835134029388e-02 9.999999403953552246e-01
1.431509613990783691e+00 9.998971223831176758e-01 1.434245146811008453e-02 9.999999403953552246e-01
1.412764072418212891e+00 9.994575381278991699e-01 3.293463215231895447e-02 1.000000000000000000e+00
1.392328023910522461e+00 9.998915791511535645e-01 1.472477335482835770e-02 1.000000000000000000e+00
1.373227119445800781e+00 9.998426437377929688e-01 1.773956790566444397e-02 1.000000000000000000e+00
1.356567263603210449e+00 9.995543956756591797e-01 2.985024265944957733e-02 1.000000000000000000e+00
1.336444020271301270e+00 9.999215006828308105e-01 1.252935454249382019e-02 1.000000000000000000e+00
1.330836176872253418e+00 9.998967647552490234e-01 1.436788216233253479e-02 9.999999403953552246e-01
1.296587705612182617e+00 9.997690320014953613e-01 2.149274386465549469e-02 1.000000000000000000e+00
1.290463566780090332e+00 9.995244145393371582e-01 3.083932213485240936e-02 1.000000000000000000e+00
1.278154373168945312e+00 9.996530413627624512e-01 2.633853815495967865e-02 9.999999403953552246e-01
1.265552997589111328e+00 9.996048212051391602e-01 2.811026386916637421e-02 1.000000000000000000e+00
1.255672812461853027e+00 9.998023509979248047e-01 1.988149434328079224e-02 1.000000000000000000e+00
1.221580505371093750e+00 9.992988705635070801e-01 3.743823245167732239e-02 9.999998807907104492e-01
1.208593010902404785e+00 9.997376203536987305e-01 2.290598303079605103e-02 1.000000000000000000e+00
1.180865168571472168e+00 9.998604655265808105e-01 1.670340821146965027e-02 9.999999403953552246e-01
1.172590494155883789e+00 9.998220205307006836e-01 1.886625215411186218e-02 1.000000000000000000e+00
1.149790048599243164e+00 9.998998045921325684e-01 1.415441930294036865e-02 9.999999403953552246e-01
1.141955256462097168e+00 9.998471140861511230e-01 1.748443208634853363e-02 9.999999403953552246e-01
1.125329971313476562e+00 9.999181032180786133e-01 1.279606949537992477e-02 9.999999403953552246e-01
1.091992139816284180e+00 9.993597269058227539e-01 3.578053787350654602e-02 1.000000000000000000e+00
1.086229443550109863e+00 9.991667866706848145e-01 4.081382974982261658e-02 1.000000000000000000e+00
