t dd no-dd
1.000000000000000000e+00 1.370071029663085938e+01 1.493829631805419922e+01
1.000000000000000000e+00 1.370071029663085938e+01 1.493829631805419922e+01
1.000000000000000000e+00 1.370071029663085938e+01 1.493829631805419922e+01
1.000000000000000000e+00 1.370071029663085938e+01 1.493829631805419922e+01
1.000000000000000000e+00 1.370071029663085938e+01 1.493829631805419922e+01
1.000000000000000000e+00 1.370071029663085938e+01 1.493829631805419922e+01
1.000000000000000000e+00 1.370071029663085938e+01 1.493829631805419922e+01
1.000000000000000000e+00 1.370071029663085938e+01 1.493829631805419922e+01
1.000000000000000000e+00 1.370071029663085938e+01 1.493829631805419922e+01
1.000000000000000000e+00 1.370071029663085938e+01 1.493829631805419922e+01
1.000000000000000000e+00 1.370071029663085938e+01 1.493829631805419922e+01
1.000000000000000000e+00 1.370071029663085938e+01 1.493829631805419922e+01
1.000000000000000000e+00 1.370071029663085938e+01 1.493829631805419922e+01
1.000000000000000000e+00 1.370071029663085938e+01 1.493829631805419922e+01
1.000000000000000000e+00 1.370071029663085938e+01 1.493829631805419922e+01
1.000000000000000000e+00 1.370071029663085938e+01 1.493829631805419922e+01
1.000000000000000000e+00 1.370071029663085938e+01 1.493829631805419922e+01
1.000000000000000000e+00 1.370071029663085938e+01 1.493829631805419922e+01
1.000000000000000000e+00 1.370071029663085938e+01 1.493829631805419922e+01
1.000000000000000000e+00 1.370071029663085938e+01 1.493829631805419922e+01
1.000000000000000000e+00 1.370071029663085938e+01 1.493829631805419922e+01
1.000000000000000000e+00 1.370071029663085938e+01 1.493829631805419922e+01
1.000000000000000000e+00 1.370071029663085938e+01 1.493829631805419922e+01
1.000000000000000000e+00 1.370071029663085938e+01 1.493829631805419922e+01
1.000000000000000000e+00 1.370071029663085938e+01 1.493829631805419922e+01
1.000000000000000000e+00 1.370071029663085938e+01 1.493829631805419922e+01
1.000000000000000000e+00 1.370071029663085938e+01 1.493829631805419922e+01
1.000000000000000000e+00 1.370071029663085938e+01 1.493829631805419922e+01
1.000000000000000000e+00 1.370071029663085938e+01 1.493829631805419922e+01
1.000000000000000000e+00 1.370071029663085938e+01 1.493829631805419922e+01
1.000000000000000000e+00 1.370071029663085938e+01 1.493829631805419922e+01
1.000000000000000000e+00 1.370071029663085938e+01 1.493829631805419922e+01
1.000000000000000000e+00 1.370071029663085938e+01 1.493829631805419922e+01
1.000000000000000000e+00 1.370071029663085938e+01 1.493829631805419922e+01
1.000000000000000000e+00 1.370071029663085938e+01 1.493829631805419922e+01
1.000000000000000000e+00 1.370071029663085938e+01 1.493829631805419922e+01
1.000000000000000000e+00 1.370071029663085938e+01 1.493829631805419922e+01
1.000000000000000000e+00 1.370071029663085938e+01 1.493829631805419922e+01
1.000000000000000000e+00 1.370071029663085938e+01 1.493829631805419922e+01
1.000000000000000000e+00 1.370071029663085938e+01 1.493829631805419922e+01
1.000000000000000000e+00 1.370071029663085938e+01 1.493829631805419922e+01
1.000000000000000000e+00 1.370071029663085938e+01 1.493829631805419922e+01
1.000000000000000000e+00 1.370071029663085938e+01 1.493829631805419922e+01
1.000000000000000000e+00 1.370071029663085938e+01 1.493829631805419922e+01
1.000000000000000000e+00 1.370071029663085938e+01 1.493829631805419922e+01
2.000000000000000000e+00 1.060425949096679688e+01 1.397127151489257812e+01
2.000000000000000000e+00 1.060425949096679688e+01 1.397127151489257812e+01
2.000000000000000000e+00 1.060425949096679688e+01 1.397127151489257812e+01
2.000000000000000000e+00 1.060425949096679688e+01 1.397127151489257812e+01
2.000000000000000000e+00 1.060425949096679688e+01 1.397127151489257812e+01
2.000000000000000000e+00 1.060425949096679688e+01 1.397127151489257812e+01
2.000000000000000000e+00 1.060425949096679688e+01 1.397127151489257812e+01
2.000000000000000000e+00 1.060425949096679688e+01 1.397127151489257812e+01
